金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,所在区域
66.8,6室2厅1厨3卫,高楼层 (共7层),225.54,复式,,板楼,南,钢混结构,毛坯,一梯两户,无,芦淞区
75.8,6室2厅1厨2卫,中楼层 (共16层),96.68,,,板塔结合,南 北,钢混结构,精装,两梯十八户,有,天元区
140.0,5室2厅1厨3卫,低楼层 (共31层),225.69,平层,,板塔结合,南 北,钢混结构,毛坯,一梯两户,无,天元区
115.0,5室2厅1厨2卫,高楼层 (共27层),161.66,平层,127.06,板塔结合,东南,钢混结构,毛坯,一梯两户,有,天元区
368.0,6室3厅3厨4卫,低楼层 (共3层),344.51,,331.84,,东南,未知结构,毛坯,其他,无,天元区
93.8,5室2厅1厨2卫,高楼层 (共31层),166.0,平层,131.89,板塔结合,东南,砖混结构,精装,两梯三户,有,天元区
63.8,3室2厅1厨1卫,高楼层 (共28层),122.0,平层,101.77,板塔结合,东南,钢混结构,精装,两梯四户,有,芦淞区
155.0,9室2厅1厨4卫,低楼层 (共29层),270.52,复式,227.05,板塔结合,南,钢混结构,毛坯,两梯三户,有,天元区
84.5,4室2厅1厨2卫,高楼层 (共25层),141.82,平层,,塔楼,东南,钢混结构,毛坯,两梯三户,有,芦淞区
70.0,4室2厅1厨2卫,中楼层 (共8层),158.03,平层,,平房,南 北,砖混结构,简装,一梯一户,无,天元区
138.0,5室2厅2厨3卫,中楼层 (共27层),225.0,平层,,,南,未知结构,毛坯,一梯两户,无,石峰区
220.0,4室2厅1厨2卫,低楼层 (共32层),178.51,平层,153.63,板塔结合,东南,钢混结构,精装,一梯四户,无,天元区
284.8,5室2厅1厨3卫,低楼层 (共3层),223.11,,,,南,钢混结构,毛坯,其他,无,荷塘区
113.0,5室2厅1厨2卫,低楼层 (共32层),172.54,平层,148.03,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,天元区
245.0,4室2厅1厨2卫,低楼层 (共30层),211.3,平层,,板楼,东南 南,钢混结构,精装,一梯两户,无,天元区
69.8,4室3厅1厨4卫,中楼层 (共5层),234.0,复式,233.0,板楼,东北,砖混结构,毛坯,一梯两户,无,荷塘区
45.0,4室2厅1厨2卫,高楼层 (共6层),164.01,平层,,,南,未知结构,简装,一梯三户,无,荷塘区
69.8,3室2厅1厨2卫,低楼层 (共6层),128.85,平层,116.41,塔楼,南 北,钢混结构,精装,一梯两户,无,荷塘区
98.0,3室2厅1厨2卫,低楼层 (共18层),150.0,平层,,塔楼,南,钢混结构,精装,两梯三户,有,荷塘区
68.8,4室2厅1厨2卫,高楼层 (共8层),176.86,错层,160.53,板楼,南,混合结构,精装,一梯两户,无,天元区
80.0,5室2厅1厨2卫,高楼层 (共15层),161.56,平层,,塔楼,南,钢混结构,毛坯,一梯三户,无,荷塘区
313.0,5室2厅1厨3卫,高楼层 (共4层),226.7,复式,,,南,未知结构,精装,一梯两户,有,天元区
105.0,4室2厅1厨2卫,高楼层 (共27层),171.0,平层,136.41,塔楼,东南,钢混结构,毛坯,两梯四户,有,天元区
95.0,5室2厅1厨3卫,高楼层 (共29层),143.0,复式,,板塔结合,南,钢混结构,精装,两梯三户,有,天元区
72.0,5室2厅1厨2卫,高楼层 (共33层),99.55,复式,,塔楼,北 南,钢混结构,精装,两梯四户,有,天元区
68.3,5室1厅1厨3卫,高楼层 (共7层),205.35,复式,189.92,板楼,南,钢混结构,精装,一梯两户,无,天元区
350.0,6室2厅1厨3卫,低楼层 (共32层),361.29,复式,,板塔结合,南,钢混结构,精装,两梯两户,有,天元区
43.5,5室2厅1厨2卫,高楼层 (共9层),179.44,复式,160.98,,南,未知结构,精装,一梯六户,无,石峰区
43.0,3室2厅1厨1卫,中楼层 (共7层),101.6,平层,,,南,未知结构,精装,一梯两户,无,荷塘区
63.8,4室2厅1厨2卫,低楼层 (共27层),133.7,平层,106.66,塔楼,南 北,钢混结构,毛坯,两梯四户,有,天元区
91.8,5室3厅1厨3卫,高楼层 (共12层),229.0,复式,,,南 北,未知结构,毛坯,一梯两户,无,荷塘区
88.0,3室2厅1厨2卫,中楼层 (共22层),135.73,平层,,板塔结合,南 北,钢混结构,精装,两梯四户,有,天元区
58.0,3室2厅1厨2卫,中楼层 (共8层),152.08,平层,,板楼,东南,钢混结构,精装,一梯两户,无,天元区
70.8,3室2厅1厨2卫,高楼层 (共33层),114.15,平层,94.0,塔楼,南,钢混结构,毛坯,两梯四户,有,天元区
45.0,3室2厅1厨1卫,高楼层 (共33层),97.22,平层,,塔楼,南 北,未知结构,毛坯,两梯四户,有,石峰区
85.8,3室2厅1厨2卫,中楼层 (共33层),106.0,平层,90.0,塔楼,南,钢混结构,精装,两梯四户,有,天元区
109.8,4室2厅1厨2卫,高楼层 (共31层),149.6,平层,,,南,未知结构,精装,一梯三户,无,天元区
49.8,4室2厅1厨1卫,高楼层 (共7层),121.31,平层,,板楼,南,钢混结构,简装,一梯两户,无,天元区
68.0,4室2厅1厨2卫,中楼层 (共32层),135.74,平层,,,东 东南,未知结构,毛坯,一梯三户,无,天元区
118.0,4室1厅1厨2卫,中楼层 (共7层),152.81,错层,,,东南,未知结构,精装,一梯两户,无,天元区
73.8,3室1厅1厨1卫,中楼层 (共34层),116.37,平层,95.5,板塔结合,东南,钢混结构,精装,两梯四户,有,天元区
68.0,4室1厅1厨2卫,高楼层 (共15层),165.69,平层,140.0,板塔结合,东,钢混结构,精装,一梯三户,有,天元区
42.0,3室2厅1厨2卫,高楼层 (共7层),131.0,平层,119.24,板楼,南 北,砖混结构,精装,一梯两户,无,天元区
63.8,3室2厅1厨2卫,中楼层 (共18层),133.27,平层,,板楼,东南,钢混结构,精装,一梯四户,无,荷塘区
82.0,3室2厅0厨1卫,中楼层 (共29层),95.7,平层,,板塔结合,南,钢混结构,精装,两梯四户,有,天元区
61.8,3室1厅1厨2卫,高楼层 (共16层),133.6,平层,,,南,钢混结构,精装,一梯两户,无,荷塘区
69.8,3室2厅1厨2卫,高楼层 (共18层),132.15,平层,108.15,板塔结合,东南,钢混结构,精装,两梯三户,有,天元区
51.6,4室2厅1厨2卫,低楼层 (共18层),139.45,平层,,,南,未知结构,精装,一梯八户,无,石峰区
25.8,2室2厅1厨1卫,低楼层 (共6层),75.0,平层,,板塔结合,东 东南,混合结构,简装,一梯两户,无,芦淞区
52.8,3室2厅1厨1卫,高楼层 (共32层),88.91,平层,,板塔结合,北 南,钢混结构,精装,三梯六户,有,荷塘区
51.0,3室2厅1厨2卫,中楼层 (共7层),127.68,平层,,板楼,南 北,钢混结构,毛坯,一梯两户,无,天元区
59.8,3室1厅1厨1卫,中楼层 (共18层),100.43,平层,31.0,板楼,南 北,钢混结构,其他,一梯两户,有,天元区
39.0,3室2厅1厨1卫,中楼层 (共5层),88.22,平层,,板楼,南,砖混结构,精装,一梯两户,无,天元区
33.5,3室2厅1厨1卫,高楼层 (共7层),107.0,平层,,,南 北,未知结构,毛坯,一梯两户,无,荷塘区
20.8,3室2厅1厨1卫,中楼层 (共7层),71.76,平层,,,南,未知结构,简装,一梯两户,无,荷塘区
70.0,4室3厅1厨3卫,高楼层 (共8层),197.69,复式,,,东南,未知结构,精装,一梯两户,无,荷塘区
295.0,8室3厅1厨2卫,高楼层 (共29层),444.24,平层,287.08,板楼,南,砖混结构,精装,一梯二十一户,有,芦淞区
99.0,5室3厅1厨3卫,低楼层 (共3层),223.95,复式,,,南,未知结构,简装,一梯一户,无,荷塘区
56.8,6室2厅1厨3卫,高楼层 (共8层),190.0,复式,,板楼,南 北,钢混结构,精装,一梯两户,无,天元区
29.9,2室2厅1厨1卫,中楼层 (共7层),95.99,平层,85.07,板塔结合,南,砖混结构,毛坯,一梯两户,无,天元区
58.0,4室2厅2厨2卫,高楼层 (共18层),146.75,平层,,,东南,钢混结构,精装,两梯四户,有,石峰区
49.8,2室2厅1厨1卫,中楼层 (共18层),96.76,平层,,板塔结合,南,钢混结构,精装,两梯四户,有,荷塘区
48.0,2室1厅1厨1卫,低楼层 (共28层),96.07,平层,79.99,板楼,南 北,钢混结构,毛坯,两梯五户,有,天元区
23.8,1室1厅1厨1卫,高楼层 (共26层),50.36,平层,,板塔结合,南,钢混结构,精装,三梯十八户,有,荷塘区
60.0,3室2厅1厨1卫,中楼层 (共26层),99.19,平层,,板塔结合,东南,框架结构,精装,两梯四户,有,天元区
27.0,1室1厅0厨1卫,中楼层 (共26层),49.28,平层,,塔楼,东南,钢混结构,精装,两梯十八户,有,荷塘区
45.0,2室2厅1厨1卫,高楼层 (共18层),88.95,平层,,板楼,南,钢混结构,精装,一梯两户,有,天元区
32.0,2室2厅1厨1卫,中楼层 (共8层),85.0,平层,,,南,未知结构,简装,一梯两户,无,荷塘区
18.0,1室1厅1厨1卫,高楼层 (共7层),47.2,平层,47.0,,东南,未知结构,其他,一梯两户,无,荷塘区
48.6,2室2厅1厨1卫,中楼层 (共23层),90.0,平层,90.0,,东南,未知结构,毛坯,一梯六户,无,天元区
29.8,1室1厅1厨1卫,中楼层 (共12层),85.88,平层,,板塔结合,南 北,钢混结构,精装,两梯十二户,有,芦淞区
46.8,2室1厅1厨1卫,低楼层 (共18层),78.54,平层,,塔楼,南,钢混结构,精装,两梯四户,有,天元区
35.0,2室2厅1厨1卫,低楼层 (共7层),85.0,平层,,,东南,砖混结构,简装,一梯两户,无,荷塘区
23.0,1室1厅1厨1卫,高楼层 (共25层),51.1,平层,,,南,砖混结构,精装,两梯十户,有,荷塘区
158.0,9室2厅1厨4卫,低楼层 (共2层),214.98,,,,南,钢混结构,精装,其他,无,天元区
47.0,2室2厅1厨1卫,中楼层 (共18层),84.48,平层,,板塔结合,南,框架结构,精装,一梯两户,无,荷塘区
72.8,4室2厅1厨2卫,高楼层 (共33层),143.9,复式,,,东 东南 南,未知结构,毛坯,两梯四户,有,天元区
39.8,2室1厅1厨1卫,中楼层 (共32层),53.76,平层,,板塔结合,南,钢混结构,精装,四梯十六户,有,天元区
35.4,1室1厅1厨1卫,低楼层 (共27层),50.0,平层,,板塔结合,东,钢混结构,精装,七梯二十二户,有,荷塘区
69.0,3室2厅1厨1卫,中楼层 (共32层),83.87,平层,75.0,板塔结合,南,钢混结构,毛坯,两梯四户,有,天元区
26.0,2室1厅1厨1卫,中楼层 (共6层),65.75,平层,,,南,未知结构,简装,一梯两户,无,荷塘区
120.0,5室5厅1厨4卫,低楼层 (共4层),232.1,,,,东南,未知结构,精装,其他,无,荷塘区
35.8,2室1厅1厨1卫,中楼层 (共18层),70.0,平层,,塔楼,东南,钢混结构,精装,一梯六户,有,天元区
77.0,4室2厅1厨2卫,中楼层 (共7层),170.5,平层,,,东南,未知结构,精装,一梯两户,无,芦淞区
67.0,3室2厅1厨2卫,中楼层 (共6层),139.49,错层,130.92,板塔结合,南 北,砖混结构,精装,一梯两户,无,天元区
390.0,7室3厅1厨6卫,低楼层 (共3层),319.84,,319.84,,南,钢混结构,精装,其他,无,天元区
81.8,3室1厅1厨2卫,低楼层 (共25层),126.64,平层,,板塔结合,南,框架结构,精装,两梯八户,有,荷塘区
42.0,3室2厅1厨1卫,高楼层 (共7层),112.12,平层,102.1,塔楼,南,钢混结构,精装,一梯两户,无,芦淞区
80.0,3室2厅1厨2卫,中楼层 (共14层),127.9,平层,,,南,未知结构,精装,一梯三户,无,天元区
105.0,3室2厅1厨2卫,低楼层 (共33层),141.38,平层,,板塔结合,东南,钢混结构,精装,两梯三户,有,天元区
86.0,4室2厅1厨2卫,中楼层 (共30层),134.76,平层,,,东南,未知结构,精装,一梯四户,无,石峰区
63.0,3室1厅1厨1卫,高楼层 (共33层),100.48,平层,,板塔结合,南,钢混结构,毛坯,两梯四户,有,天元区
105.8,4室2厅1厨2卫,低楼层 (共33层),124.37,平层,,塔楼,南,钢混结构,精装,两梯三户,有,天元区
54.8,3室2厅1厨1卫,高楼层 (共25层),112.46,平层,,板塔结合,东,框架结构,精装,两梯四户,有,芦淞区
61.5,4室2厅1厨2卫,中楼层 (共32层),123.0,平层,,板楼,南,钢混结构,毛坯,两梯四户,有,荷塘区
44.8,3室2厅1厨1卫,低楼层 (共18层),103.0,平层,,板塔结合,东南,钢混结构,精装,一梯四户,无,石峰区
60.0,3室2厅1厨2卫,低楼层 (共7层),122.0,平层,,塔楼,东南,钢混结构,精装,一梯两户,无,荷塘区
71.8,3室1厅1厨2卫,低楼层 (共32层),116.35,平层,,板塔结合,南,钢混结构,精装,两梯两户,有,天元区
85.0,3室1厅1厨2卫,低楼层 (共30层),118.06,平层,110.0,塔楼,南,钢混结构,精装,一梯三户,无,荷塘区
48.0,3室2厅1厨2卫,低楼层 (共33层),106.0,平层,106.0,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,荷塘区
31.0,3室2厅1厨1卫,中楼层 (共7层),75.09,平层,66.38,板楼,南,砖混结构,简装,一梯两户,无,天元区
40.0,3室2厅1厨1卫,中楼层 (共8层),106.31,平层,90.4,,南 北,未知结构,简装,一梯两户,无,荷塘区
77.0,4室2厅1厨2卫,中楼层 (共18层),128.83,平层,,,南,未知结构,精装,一梯两户,无,荷塘区
69.0,4室2厅1厨2卫,低楼层 (共30层),132.93,平层,,板塔结合,南 北,钢混结构,简装,一梯三户,有,天元区
75.8,3室2厅1厨2卫,低楼层 (共27层),110.7,平层,110.7,板塔结合,南,钢混结构,精装,两梯四户,有,荷塘区
99.8,4室1厅1厨2卫,高楼层 (共33层),137.86,平层,,,南 北,未知结构,精装,一梯四户,无,荷塘区
65.0,4室2厅1厨2卫,中楼层 (共15层),146.0,平层,,板楼,南,钢混结构,简装,两梯八户,有,荷塘区
65.8,3室2厅1厨2卫,中楼层 (共33层),109.6,平层,89.94,板楼,东南,钢混结构,精装,两梯四户,有,天元区
63.0,4室2厅1厨2卫,低楼层 (共28层),150.39,平层,,板塔结合,南,钢混结构,简装,两梯六户,有,荷塘区
100.0,4室1厅1厨2卫,低楼层 (共33层),153.08,平层,,,南,钢混结构,精装,一梯三户,无,天元区
78.8,3室2厅1厨2卫,中楼层 (共18层),131.0,平层,105.76,塔楼,南,钢混结构,精装,两梯三户,有,荷塘区
62.0,3室2厅1厨1卫,中楼层 (共33层),96.87,平层,,塔楼,东南,钢混结构,简装,两梯四户,有,天元区
42.0,3室1厅1厨1卫,中楼层 (共5层),88.0,平层,80.0,板楼,东南,砖混结构,精装,一梯两户,无,荷塘区
55.0,3室1厅1厨2卫,低楼层 (共6层),122.47,平层,,板楼,南 北,框架结构,精装,一梯两户,无,荷塘区
45.0,3室2厅1厨1卫,中楼层 (共7层),122.0,平层,,,南,未知结构,精装,一梯两户,无,荷塘区
100.0,4室1厅1厨2卫,低楼层 (共17层),139.0,平层,,板楼,南,砖混结构,精装,一梯三户,有,天元区
26.0,1室1厅1厨1卫,中楼层 (共22层),70.0,平层,,板塔结合,南 北,钢混结构,精装,六梯二十四户,有,荷塘区
76.8,3室2厅1厨2卫,中楼层 (共9层),140.96,平层,,板塔结合,南 北,框架结构,精装,一梯两户,有,天元区
68.0,4室2厅1厨2卫,中楼层 (共8层),172.44,错层,,板楼,南,砖混结构,简装,一梯两户,无,天元区
86.0,3室2厅1厨1卫,高楼层 (共33层),105.36,平层,,塔楼,南 北,钢混结构,精装,两梯四户,有,天元区
31.8,3室1厅1厨1卫,中楼层 (共9层),77.98,平层,,板塔结合,东南,砖混结构,精装,一梯四户,无,芦淞区
22.8,1室1厅1厨1卫,中楼层 (共24层),54.11,平层,42.28,塔楼,南,钢混结构,精装,四梯三十二户,有,芦淞区
69.0,4室2厅1厨2卫,中楼层 (共8层),173.85,平层,,板楼,东南,砖混结构,毛坯,一梯两户,无,天元区
60.0,2室1厅1厨1卫,低楼层 (共33层),85.0,平层,,,南,未知结构,精装,两梯四户,有,荷塘区
82.0,4室2厅1厨2卫,高楼层 (共27层),138.0,平层,,板塔结合,东南,砖混结构,精装,两梯四户,有,荷塘区
79.0,5室1厅1厨2卫,高楼层 (共7层),244.53,复式,,板楼,东南,钢混结构,精装,一梯三户,无,天元区
70.0,3室1厅1厨2卫,高楼层 (共18层),140.26,平层,116.19,板塔结合,南,钢混结构,精装,两梯三户,有,芦淞区
50.0,4室2厅1厨2卫,低楼层 (共32层),110.34,平层,,板楼,南,钢混结构,精装,两梯七户,有,石峰区
98.0,4室1厅1厨2卫,低楼层 (共31层),191.9,平层,,板塔结合,南,钢混结构,毛坯,两梯四户,有,芦淞区
116.0,5室3厅1厨3卫,高楼层 (共28层),218.08,复式,,板楼,南 北,框架结构,毛坯,两梯三户,有,天元区
89.8,3室2厅1厨2卫,高楼层 (共18层),123.73,平层,,板楼,南 北,钢混结构,精装,两梯四户,有,天元区
75.0,5室2厅1厨2卫,高楼层 (共6层),181.98,复式,166.52,塔楼,南,混合结构,精装,一梯两户,无,芦淞区
83.8,5室1厅1厨2卫,高楼层 (共30层),171.0,平层,,塔楼,东南,钢混结构,毛坯,两梯两户,有,荷塘区
104.0,4室2厅1厨2卫,高楼层 (共32层),140.86,平层,,板塔结合,南,框架结构,毛坯,两梯四户,有,天元区
73.8,3室2厅1厨2卫,中楼层 (共29层),137.0,平层,125.25,塔楼,南,未知结构,毛坯,两梯四户,有,荷塘区
137.0,5室2厅1厨2卫,高楼层 (共14层),249.78,复式,,板楼,东南,钢混结构,精装,一梯两户,无,天元区
65.0,3室2厅1厨2卫,高楼层 (共15层),124.53,平层,105.45,塔楼,南 北,钢混结构,精装,一梯四户,无,荷塘区
70.0,3室1厅1厨2卫,高楼层 (共7层),125.0,平层,115.0,,南,混合结构,精装,一梯两户,无,荷塘区
39.6,3室2厅1厨1卫,高楼层 (共7层),108.79,平层,98.68,,南 北,未知结构,精装,一梯两户,无,石峰区
69.8,4室2厅1厨2卫,中楼层 (共16层),141.25,平层,,,南,未知结构,毛坯,两梯三户,有,荷塘区
108.0,4室2厅1厨2卫,低楼层 (共17层),168.0,错层,,板塔结合,南,钢混结构,毛坯,两梯四户,有,天元区
303.8,4室2厅1厨2卫,低楼层 (共30层),266.37,平层,,板塔结合,南 北,钢混结构,精装,两梯两户,有,天元区
58.8,2室1厅1厨2卫,高楼层 (共29层),112.67,平层,,板楼,南,钢混结构,毛坯,三梯六户,有,荷塘区
186.0,6室2厅1厨2卫,低楼层 (共3层),226.25,,,,南,未知结构,毛坯,其他,无,芦淞区
42.8,2室2厅1厨1卫,中楼层 (共32层),87.0,平层,,板楼,南 北,钢混结构,毛坯,一梯三户,无,荷塘区
155.0,5室2厅1厨3卫,高楼层 (共27层),227.67,平层,,,南 北,未知结构,毛坯,一梯两户,无,石峰区
42.0,2室2厅1厨1卫,中楼层 (共30层),86.38,平层,,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,石峰区
56.0,4室2厅1厨2卫,高楼层 (共8层),142.0,平层,,板楼,南,砖混结构,简装,一梯两户,无,天元区
40.0,4室2厅1厨2卫,高楼层 (共9层),154.0,平层,,板楼,南,砖混结构,精装,一梯两户,无,芦淞区
51.0,3室2厅1厨2卫,高楼层 (共29层),112.67,平层,,板楼,东南 南,钢混结构,毛坯,四梯六户,有,荷塘区
85.0,5室2厅1厨3卫,高楼层 (共9层),205.03,复式,,板楼,南,钢混结构,简装,一梯四户,有,芦淞区
52.8,3室2厅1厨2卫,高楼层 (共6层),128.0,平层,,塔楼,南,混合结构,精装,一梯两户,无,荷塘区
45.0,3室2厅1厨2卫,高楼层 (共7层),135.5,平层,,,南 北,未知结构,精装,一梯两户,无,醴陵市
76.8,4室2厅1厨2卫,高楼层 (共7层),197.2,复式,,塔楼,南,钢混结构,精装,一梯两户,无,芦淞区
76.0,5室2厅1厨2卫,中楼层 (共7层),180.0,错层,,板楼,南,钢混结构,精装,一梯两户,无,天元区
238.0,4室2厅1厨4卫,低楼层 (共3层),243.83,,,,南 北,未知结构,毛坯,其他,无,天元区
44.8,3室2厅1厨2卫,高楼层 (共8层),132.26,平层,,板塔结合,东南,砖混结构,简装,一梯两户,无,芦淞区
170.6,6室2厅1厨2卫,高楼层 (共33层),134.7,平层,,板塔结合,南 北,钢混结构,精装,两梯四户,有,天元区
80.8,3室2厅1厨1卫,高楼层 (共33层),95.0,平层,,板塔结合,南,框架结构,毛坯,两梯四户,有,天元区
59.8,4室2厅1厨2卫,中楼层 (共6层),179.4,平层,,板楼,南 北,砖混结构,精装,一梯两户,无,天元区
103.0,5室1厅1厨2卫,高楼层 (共27层),171.01,平层,136.41,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,天元区
64.5,6室2厅1厨3卫,高楼层 (共6层),195.33,复式,,板楼,南 北,钢混结构,简装,一梯两户,无,芦淞区
126.0,3室2厅1厨2卫,高楼层 (共32层),126.0,平层,,,南,未知结构,精装,两梯四户,有,天元区
145.0,5室4厅2厨3卫,低楼层 (共5层),150.0,,,,南,钢混结构,毛坯,其他,无,天元区
37.8,3室1厅1厨1卫,高楼层 (共6层),83.5,平层,80.0,板楼,南,钢混结构,精装,一梯两户,无,荷塘区
50.8,3室2厅1厨2卫,高楼层 (共27层),110.0,平层,,板塔结合,南 北,框架结构,毛坯,两梯四户,有,荷塘区
260.0,4室2厅1厨4卫,低楼层 (共3层),229.26,,,,南 北,未知结构,毛坯,其他,无,天元区
75.8,3室2厅1厨2卫,中楼层 (共31层),118.74,平层,,,南 北,未知结构,精装,一梯四户,无,荷塘区
298.0,6室2厅1厨3卫,低楼层 (共4层),287.48,,,,东南,未知结构,毛坯,其他,无,天元区
38.0,3室2厅1厨2卫,中楼层 (共7层),122.83,平层,,,南 北,未知结构,精装,一梯两户,无,石峰区
53.8,3室1厅1厨1卫,中楼层 (共30层),85.0,平层,,板塔结合,南,钢混结构,精装,两梯四户,有,荷塘区
48.0,4室2厅1厨2卫,中楼层 (共8层),136.25,平层,,板楼,南 北,钢混结构,简装,一梯两户,有,天元区
84.5,6室2厅1厨3卫,高楼层 (共7层),282.0,复式,261.4,塔楼,南,钢混结构,毛坯,一梯两户,无,天元区
88.0,6室2厅1厨2卫,中楼层 (共33层),140.15,平层,140.0,板塔结合,南 北,钢混结构,毛坯,三梯六户,有,天元区
55.8,3室2厅1厨2卫,低楼层 (共27层),125.0,平层,,,南 北,钢混结构,毛坯,两梯四户,有,荷塘区
41.0,5室2厅1厨2卫,高楼层 (共6层),185.04,复式,,板楼,东南,砖混结构,毛坯,一梯两户,有,芦淞区
48.0,3室2厅1厨2卫,中楼层 (共7层),120.27,平层,108.03,,东南,未知结构,精装,一梯两户,无,石峰区
108.0,5室2厅1厨2卫,高楼层 (共17层),221.11,复式,,,南,未知结构,毛坯,一梯两户,无,荷塘区
68.8,5室1厅1厨3卫,高楼层 (共7层),211.13,复式,194.27,板楼,南,钢混结构,精装,一梯两户,无,芦淞区
68.0,4室2厅1厨2卫,中楼层 (共18层),144.0,平层,,板塔结合,南,钢混结构,精装,一梯两户,无,荷塘区
59.0,3室2厅1厨2卫,低楼层 (共30层),134.53,平层,,,南,未知结构,毛坯,一梯两户,无,荷塘区
155.0,5室1厅2厨2卫,高楼层 (共10层),251.19,平层,,板楼,南,钢混结构,精装,一梯两户,无,荷塘区
128.8,5室2厅1厨2卫,中楼层 (共17层),218.6,平层,,,南,未知结构,毛坯,一梯两户,无,天元区
146.0,5室2厅1厨2卫,中楼层 (共17层),179.36,错层,,板塔结合,东南,钢混结构,精装,一梯三户,无,天元区
58.0,3室2厅1厨2卫,高楼层 (共16层),131.0,平层,,板塔结合,南 北,混合结构,毛坯,两梯三户,有,荷塘区
82.0,5室2厅1厨3卫,低楼层 (共32层),191.69,平层,,板塔结合,南,钢混结构,毛坯,五梯三户,有,荷塘区
60.8,4室2厅1厨2卫,中楼层 (共13层),143.0,错层,,塔楼,南,砖混结构,精装,两梯四户,有,荷塘区
55.5,3室1厅1厨2卫,低楼层 (共15层),116.51,平层,110.0,板塔结合,南,钢混结构,简装,一梯两户,有,荷塘区
95.0,4室2厅1厨2卫,低楼层 (共28层),132.0,平层,,,南,钢混结构,精装,两梯三户,有,天元区
63.5,3室2厅1厨2卫,中楼层 (共29层),111.5,平层,,板塔结合,南 北,钢混结构,简装,三梯六户,有,天元区
48.0,3室2厅1厨2卫,中楼层 (共8层),112.5,平层,,平房,南 北,砖混结构,精装,一梯两户,无,天元区
35.0,5室2厅1厨2卫,高楼层 (共7层),121.29,复式,107.63,,南 北,未知结构,简装,一梯两户,无,石峰区
418.0,6室3厅1厨4卫,高楼层 (共4层),295.36,,,,南 北,混合结构,毛坯,其他,无,天元区
63.0,4室2厅1厨2卫,高楼层 (共31层),135.52,平层,,,南,未知结构,毛坯,一梯四户,无,荷塘区
59.8,3室2厅1厨2卫,高楼层 (共14层),140.64,平层,124.51,塔楼,南,钢混结构,毛坯,一梯四户,有,芦淞区
115.0,6室3厅2厨4卫,低楼层 (共3层),256.42,,256.42,,南,钢混结构,简装,其他,无,芦淞区
48.0,3室2厅1厨2卫,中楼层 (共16层),138.0,平层,112.27,,南,未知结构,毛坯,一梯两户,无,荷塘区
130.0,8室2厅1厨3卫,高楼层 (共27层),267.08,平层,,塔楼,南,钢混结构,毛坯,两梯四户,有,天元区
73.5,5室2厅1厨2卫,中楼层 (共5层),188.0,复式,,板塔结合,南 北,钢混结构,精装,一梯两户,无,天元区
158.0,6室2厅1厨3卫,低楼层 (共3层),263.38,,,,南,钢混结构,毛坯,其他,无,芦淞区
82.0,4室2厅1厨2卫,低楼层 (共6层),144.63,错层,,板楼,东南,钢混结构,精装,一梯两户,无,天元区
80.0,4室2厅1厨2卫,中楼层 (共33层),134.7,平层,,板塔结合,南 北,钢混结构,精装,两梯四户,有,天元区
78.0,5室2厅1厨3卫,高楼层 (共6层),195.45,复式,177.72,,东南,未知结构,毛坯,一梯两户,无,石峰区
300.0,5室2厅1厨3卫,低楼层 (共3层),224.03,,,,南 北,钢混结构,毛坯,其他,无,荷塘区
29.8,3室2厅1厨1卫,高楼层 (共8层),85.71,平层,,板楼,南,钢混结构,精装,一梯两户,无,芦淞区
57.0,4室2厅1厨2卫,中楼层 (共7层),161.39,错层,,板楼,东,钢混结构,简装,一梯两户,无,荷塘区
153.0,4室2厅1厨2卫,低楼层 (共7层),131.09,复式,,,南,钢混结构,精装,一梯四户,无,天元区
138.0,5室2厅1厨3卫,高楼层 (共6层),198.07,复式,,板塔结合,南,钢混结构,毛坯,一梯两户,无,天元区
46.8,3室1厅1厨2卫,中楼层 (共8层),119.15,平层,,板楼,东南,砖木结构,简装,一梯两户,无,芦淞区
71.8,3室2厅1厨2卫,中楼层 (共30层),130.55,平层,,板塔结合,南,钢混结构,毛坯,两梯三户,有,荷塘区
60.0,4室1厅1厨2卫,高楼层 (共15层),131.0,平层,33.36,,南,未知结构,毛坯,两梯四户,有,荷塘区
475.0,6室2厅1厨5卫,低楼层 (共3层),450.0,,,,南,未知结构,毛坯,其他,无,株洲县
342.0,5室2厅1厨4卫,低楼层 (共3层),251.48,,,,南,钢混结构,精装,其他,无,荷塘区
62.0,5室2厅1厨2卫,低楼层 (共18层),162.25,平层,,板楼,南,混合结构,精装,两梯四户,有,石峰区
95.0,4室1厅1厨2卫,中楼层 (共30层),171.0,平层,,板塔结合,北 南,钢混结构,毛坯,两梯五户,有,荷塘区
310.0,5室2厅1厨3卫,低楼层 (共3层),320.0,,,,南 北,未知结构,精装,其他,无,天元区
308.8,4室2厅1厨3卫,低楼层 (共2层),177.58,,,,东南,未知结构,毛坯,其他,无,株洲县
45.0,2室2厅1厨1卫,低楼层 (共18层),89.0,平层,,塔楼,东南,钢混结构,精装,一梯三户,无,荷塘区
20.0,1室1厅1厨1卫,高楼层 (共19层),49.39,平层,41.11,塔楼,南,钢混结构,精装,两梯四户,有,芦淞区
