金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯
116.0,2室1厅1厨1卫,中楼层 (共21层),89.0,平层,,板塔结合,北 南,钢混结构,精装,一梯两户,无
92.0,2室2厅1厨1卫,高楼层 (共26层),92.26,平层,,板塔结合,南,钢混结构,精装,两梯七户,有
80.0,2室1厅1厨1卫,高楼层 (共18层),76.6,平层,,板塔结合,东南,未知结构,其他,两梯六户,有
75.0,1室1厅1厨1卫,中楼层 (共20层),64.88,平层,51.6,板楼,南,钢混结构,其他,两梯七户,有
45.0,2室0厅1厨1卫,低楼层 (共6层),47.31,平层,,板楼,南,钢混结构,精装,三梯二十八户,有
74.0,3室2厅1厨1卫,中楼层 (共25层),90.39,平层,68.47,塔楼,南,钢混结构,精装,四梯二十户,有
42.5,2室2厅1厨1卫,高楼层 (共11层),64.44,平层,51.76,,东南,钢混结构,精装,一梯九户,无
93.0,2室2厅1厨1卫,低楼层 (共31层),77.96,平层,,塔楼,南 北,钢混结构,精装,两梯六户,有
76.0,2室2厅1厨1卫,低楼层 (共15层),86.0,平层,,板塔结合,南 北,钢混结构,其他,一梯六户,无
105.0,2室1厅1厨1卫,低楼层 (共15层),85.32,平层,,塔楼,南,钢混结构,精装,两梯六户,有
110.0,2室2厅1厨1卫,高楼层 (共26层),81.26,平层,,板楼,东南,钢混结构,精装,两梯八户,有
105.0,2室1厅1厨1卫,低楼层 (共15层),85.32,平层,,塔楼,南,钢混结构,精装,两梯六户,有
110.0,2室2厅1厨1卫,高楼层 (共26层),81.26,平层,,板楼,东南,钢混结构,精装,两梯八户,有
111.0,2室2厅1厨1卫,高楼层 (共18层),85.43,平层,66.6,板塔结合,南 北,钢混结构,简装,两梯五户,有
88.0,2室2厅1厨1卫,高楼层 (共18层),93.92,平层,77.38,塔楼,西北,钢混结构,精装,两梯六户,有
76.0,2室2厅1厨1卫,中楼层 (共18层),61.98,平层,,板塔结合,北,钢混结构,毛坯,一梯六户,无
96.0,2室1厅1厨1卫,中楼层 (共16层),84.42,平层,68.31,板塔结合,南 北,钢混结构,精装,一梯四户,无
96.0,2室2厅1厨1卫,中楼层 (共11层),84.91,平层,,,南,未知结构,精装,一梯四户,无
87.0,2室2厅1厨1卫,低楼层 (共18层),86.44,平层,67.39,板塔结合,南,钢混结构,其他,两梯五户,有
90.0,2室2厅1厨1卫,高楼层 (共18层),78.55,平层,62.7,,南,未知结构,精装,一梯六户,无
135.0,3室2厅1厨2卫,中楼层 (共28层),130.21,平层,99.58,板楼,南 北,钢混结构,精装,两梯三户,有
93.0,2室2厅1厨1卫,中楼层 (共11层),93.08,平层,78.3,,东 西,未知结构,精装,一梯两户,无
110.0,2室1厅1厨1卫,高楼层 (共21层),83.27,平层,,板塔结合,西北,钢混结构,精装,一梯两户,无
72.0,2室2厅1厨1卫,低楼层 (共18层),79.86,平层,,塔楼,北,钢混结构,其他,两梯四户,有
82.0,2室2厅1厨1卫,高楼层 (共18层),82.07,平层,68.82,板塔结合,南,钢混结构,精装,一梯五户,无
110.0,2室1厅1厨1卫,低楼层 (共24层),87.3,平层,,板塔结合,南,钢混结构,其他,两梯四户,有
65.0,2室2厅1厨1卫,高楼层 (共18层),75.0,平层,,板塔结合,南,框架结构,精装,两梯五户,有
95.0,2室2厅1厨1卫,低楼层 (共18层),87.0,平层,67.39,板楼,南,钢混结构,精装,一梯四户,无
60.0,2室1厅1厨1卫,中楼层 (共18层),74.33,平层,,板塔结合,西南,钢混结构,简装,一梯八户,无
75.0,2室2厅1厨1卫,中楼层 (共18层),60.07,平层,60.0,板塔结合,西南,框架结构,精装,两梯六户,有
82.0,2室2厅1厨1卫,低楼层 (共18层),85.43,平层,,板塔结合,南,钢混结构,其他,两梯五户,有
88.0,3室2厅1厨1卫,中楼层 (共18层),76.48,平层,63.63,板塔结合,西北,钢混结构,其他,两梯八户,有
72.0,2室2厅1厨1卫,低楼层 (共11层),77.81,平层,65.51,板楼,南,钢混结构,精装,一梯四户,有
80.0,2室2厅1厨1卫,中楼层 (共24层),78.8,平层,,塔楼,西北,钢混结构,精装,两梯六户,有
120.0,2室2厅1厨1卫,中楼层 (共18层),84.42,平层,68.31,板塔结合,南 北,钢混结构,精装,两梯四户,有
80.0,2室2厅1厨1卫,低楼层 (共18层),82.84,平层,67.96,板塔结合,西南,钢混结构,精装,一梯六户,无
88.0,2室2厅1厨1卫,低楼层 (共18层),91.76,平层,,塔楼,东 南,未知结构,精装,两梯六户,有
99.9,3室2厅1厨2卫,高楼层 (共18层),104.24,平层,88.08,板楼,南 北,钢混结构,精装,一梯五户,无
65.0,1室1厅1厨1卫,低楼层 (共17层),50.8,平层,,板楼,南,钢混结构,精装,一梯十二户,无
66.0,2室1厅1厨1卫,中楼层 (共25层),79.47,平层,,板塔结合,东,钢混结构,简装,两梯十二户,有
80.0,2室2厅1厨1卫,中楼层 (共18层),82.07,平层,69.0,板塔结合,南,钢混结构,简装,一梯五户,无
75.0,3室1厅1厨1卫,低楼层 (共25层),91.17,平层,,塔楼,西南,钢混结构,精装,两梯十八户,有
95.0,2室2厅1厨1卫,低楼层 (共18层),87.0,平层,67.39,板楼,南,钢混结构,精装,一梯四户,无
60.0,2室1厅1厨1卫,中楼层 (共18层),74.33,平层,,板塔结合,西南,钢混结构,简装,一梯八户,无
82.0,2室2厅1厨1卫,低楼层 (共18层),85.43,平层,,板塔结合,南,钢混结构,其他,两梯五户,有
88.0,3室2厅1厨1卫,中楼层 (共18层),76.48,平层,63.63,板塔结合,西北,钢混结构,其他,两梯八户,有
75.0,2室2厅1厨1卫,中楼层 (共18层),60.07,平层,60.0,板塔结合,西南,框架结构,精装,两梯六户,有
77.0,2室2厅1厨1卫,高楼层 (共18层),79.22,平层,,板楼,北,钢混结构,简装,一梯六户,无
70.0,1室2厅1厨1卫,高楼层 (共18层),63.04,平层,48.64,板塔结合,东南,钢混结构,精装,一梯四户,无
42.0,2室1厅1厨1卫,低楼层 (共16层),64.18,平层,,板塔结合,南,钢混结构,简装,一梯六户,无
86.0,2室1厅1厨1卫,高楼层 (共17层),81.25,平层,66.54,板塔结合,西北,框架结构,精装,两梯八户,有
75.0,2室2厅1厨1卫,中楼层 (共18层),67.96,平层,54.01,板塔结合,北,未知结构,精装,两梯六户,有
57.0,2室2厅1厨1卫,高楼层 (共18层),92.2,平层,,板楼,南 北,钢混结构,简装,两梯四户,有
66.0,2室1厅1厨1卫,低楼层 (共32层),64.72,平层,,板塔结合,东北,未知结构,简装,两梯六户,有
90.0,3室2厅1厨1卫,高楼层 (共18层),88.34,平层,72.14,板楼,南 北,钢混结构,精装,两梯八户,有
41.0,2室2厅1厨1卫,低楼层 (共26层),73.27,平层,,板塔结合,东南,未知结构,其他,一梯六户,无
45.0,1室2厅1厨1卫,中楼层 (共26层),57.13,平层,,板塔结合,北,钢混结构,其他,两梯七户,有
76.0,3室2厅1厨1卫,中楼层 (共9层),96.66,平层,,板塔结合,南 北,钢混结构,精装,一梯十一户,无
95.0,2室2厅1厨1卫,低楼层 (共18层),75.0,平层,,板楼,东,钢混结构,精装,两梯五户,有
90.0,2室2厅1厨1卫,中楼层 (共26层),75.0,平层,59.49,板塔结合,东南 南,钢混结构,精装,两梯八户,有
95.0,2室2厅1厨1卫,低楼层 (共25层),76.0,平层,,板塔结合,南 北,钢混结构,精装,一梯九户,无
80.0,2室1厅1厨1卫,高楼层 (共18层),65.0,平层,,板塔结合,北,框架结构,其他,一梯六户,无
103.0,2室2厅1厨2卫,低楼层 (共11层),83.81,平层,70.99,板塔结合,南,钢混结构,精装,一梯两户,无
101.0,3室2厅1厨1卫,低楼层 (共18层),90.5,平层,74.22,板楼,东南,钢混结构,精装,一梯六户,无
53.0,1室2厅1厨1卫,中楼层 (共18层),48.56,平层,36.33,板塔结合,东南,钢混结构,精装,两梯八户,有
55.0,2室2厅1厨1卫,中楼层 (共17层),71.53,平层,,板楼,东南,钢混结构,其他,两梯七户,有
69.0,2室1厅1厨1卫,低楼层 (共18层),71.45,平层,,板塔结合,北,框架结构,简装,两梯十一户,有
80.0,2室2厅1厨1卫,高楼层 (共17层),80.29,平层,80.0,板楼,东,钢混结构,精装,两梯七户,有
55.0,1室2厅1厨1卫,中楼层 (共20层),64.2,平层,51.06,板楼,南,钢混结构,其他,两梯七户,有
110.0,2室1厅1厨1卫,低楼层 (共18层),79.9,平层,65.84,板塔结合,南,混合结构,精装,两梯六户,有
89.0,2室2厅1厨1卫,低楼层 (共11层),89.18,平层,74.77,塔楼,南,钢混结构,精装,一梯六户,无
38.0,1室1厅1厨1卫,中楼层 (共11层),42.92,平层,33.69,,北,未知结构,简装,一梯七户,无
73.0,2室2厅1厨1卫,中楼层 (共31层),76.39,平层,,板塔结合,南,钢混结构,精装,三梯八户,有
120.0,3室2厅1厨2卫,低楼层 (共18层),109.88,平层,87.44,板楼,南 北,钢混结构,精装,一梯六户,无
75.0,2室2厅1厨1卫,低楼层 (共21层),81.66,平层,,板塔结合,北,钢混结构,其他,一梯六户,无
85.0,2室2厅1厨1卫,低楼层 (共18层),79.8,平层,,板塔结合,南,钢混结构,精装,一梯四户,无
110.0,2室1厅1厨1卫,低楼层 (共18层),79.9,平层,65.84,板塔结合,南,混合结构,精装,两梯六户,有
89.0,2室2厅1厨1卫,低楼层 (共11层),89.18,平层,74.77,塔楼,南,钢混结构,精装,一梯六户,无
59.0,2室2厅1厨1卫,低楼层 (共2层),83.81,平层,70.01,板塔结合,南,钢混结构,简装,一梯一户,无
45.0,1室2厅1厨1卫,中楼层 (共26层),57.13,平层,,板塔结合,北,钢混结构,其他,两梯七户,有
76.0,3室2厅1厨1卫,中楼层 (共9层),96.66,平层,,板塔结合,南 北,钢混结构,精装,一梯十一户,无
101.0,3室2厅1厨1卫,低楼层 (共18层),90.5,平层,74.22,板楼,东南,钢混结构,精装,一梯六户,无
90.0,3室2厅1厨1卫,高楼层 (共18层),88.34,平层,72.14,板楼,南 北,钢混结构,精装,两梯八户,有
41.0,2室2厅1厨1卫,低楼层 (共26层),73.27,平层,,板塔结合,东南,未知结构,其他,一梯六户,无
95.0,2室2厅1厨1卫,低楼层 (共18层),75.0,平层,,板楼,东,钢混结构,精装,两梯五户,有
42.0,2室1厅1厨1卫,低楼层 (共16层),64.18,平层,,板塔结合,南,钢混结构,简装,一梯六户,无
86.0,2室1厅1厨1卫,高楼层 (共17层),81.25,平层,66.54,板塔结合,西北,框架结构,精装,两梯八户,有
75.0,2室2厅1厨1卫,中楼层 (共18层),67.96,平层,54.01,板塔结合,北,未知结构,精装,两梯六户,有
53.0,1室2厅1厨1卫,中楼层 (共18层),48.56,平层,36.33,板塔结合,东南,钢混结构,精装,两梯八户,有
65.0,1室2厅1厨1卫,低楼层 (共16层),72.0,平层,71.07,板塔结合,南,钢混结构,精装,一梯三户,无
105.0,3室2厅1厨2卫,低楼层 (共18层),92.19,平层,,板塔结合,南,钢混结构,其他,一梯六户,无
83.0,2室2厅1厨1卫,高楼层 (共18层),67.0,平层,,板塔结合,南,钢混结构,其他,一梯六户,无
93.0,2室1厅1厨1卫,中楼层 (共26层),80.22,平层,65.63,板塔结合,南,钢混结构,精装,两梯八户,有
86.0,2室2厅1厨1卫,中楼层 (共25层),75.0,平层,59.97,板塔结合,南,钢混结构,其他,三梯十户,有
58.0,1室1厅1厨1卫,中楼层 (共16层),58.22,平层,,板塔结合,南 北,钢混结构,精装,一梯四户,无
55.0,2室2厅1厨1卫,中楼层 (共17层),71.53,平层,,板楼,东南,钢混结构,其他,两梯七户,有
69.0,2室1厅1厨1卫,低楼层 (共18层),71.45,平层,,板塔结合,北,框架结构,简装,两梯十一户,有
80.0,2室2厅1厨1卫,高楼层 (共17层),80.29,平层,80.0,板楼,东,钢混结构,精装,两梯七户,有
84.5,2室2厅1厨1卫,中楼层 (共11层),74.8,平层,61.31,板塔结合,南,钢混结构,精装,一梯四户,无
68.0,2室1厅1厨1卫,中楼层 (共11层),76.57,平层,62.65,板塔结合,北 南,钢混结构,毛坯,一梯三户,无
130.0,2室2厅1厨1卫,高楼层 (共26层),85.22,平层,67.52,板楼,南,钢混结构,精装,一梯七户,无
82.0,2室2厅1厨1卫,中楼层 (共17层),86.36,平层,,板塔结合,南,未知结构,其他,两梯五户,有
130.0,2室2厅1厨1卫,高楼层 (共26层),85.22,平层,67.52,板楼,南,钢混结构,精装,一梯七户,无
95.0,2室2厅1厨2卫,高楼层 (共26层),79.19,平层,,板楼,南,钢混结构,其他,两梯七户,有
75.0,2室2厅1厨1卫,中楼层 (共14层),76.88,平层,,板塔结合,南,钢混结构,精装,两梯六户,有
59.0,1室1厅1厨1卫,低楼层 (共26层),58.69,平层,,板楼,南 北,钢混结构,简装,一梯七户,无
438.5,5室2厅1厨3卫,低楼层 (共2层),292.32,复式,,板塔结合,西南,钢混结构,毛坯,一梯十五户,无
1200.0,7室4厅1厨7卫,低楼层 (共3层),323.0,,,,南,未知结构,精装,其他,无
2580.0,9室2厅2厨2卫,低楼层 (共9层),1240.0,平层,,板塔结合,南 北,钢混结构,精装,一梯四户,无
500.0,4室3厅1厨3卫,低楼层 (共3层),221.0,,,,南 北,未知结构,精装,其他,无
79.0,2室1厅1厨2卫,低楼层 (共18层),79.49,平层,,板楼,北,钢混结构,精装,两梯六户,有
34.0,1室1厅1厨1卫,中楼层 (共9层),52.44,平层,40.13,板塔结合,南,钢混结构,精装,一梯二十一户,无
58.0,1室1厅1厨1卫,中楼层 (共9层),67.45,平层,51.27,板塔结合,西南,钢混结构,其他,一梯十二户,无
85.0,2室1厅1厨1卫,中楼层 (共18层),80.0,平层,63.88,板塔结合,东南,钢混结构,其他,两梯六户,有
30.0,1室0厅1厨1卫,中楼层 (共17层),40.16,平层,33.7,板塔结合,南,钢混结构,精装,一梯六户,无
29.0,1室2厅1厨1卫,中楼层 (共18层),40.28,平层,,板塔结合,南 北,钢混结构,精装,一梯五户,无
81.0,2室2厅1厨1卫,高楼层 (共21层),81.0,平层,,板塔结合,西北,钢混结构,毛坯,一梯六户,无
68.8,2室1厅1厨1卫,中楼层 (共15层),64.0,平层,,,北,未知结构,毛坯,两梯六户,有
75.0,2室2厅1厨1卫,中楼层 (共31层),67.9,平层,,板楼,北,钢混结构,毛坯,两梯七户,有
100.0,2室1厅1厨1卫,高楼层 (共18层),87.7,平层,,板塔结合,南 北,钢混结构,精装,两梯四户,有
62.0,2室1厅1厨1卫,低楼层 (共11层),77.67,平层,,板塔结合,南,钢混结构,简装,一梯四户,无
103.0,2室1厅1厨1卫,中楼层 (共31层),78.04,平层,,板塔结合,北,框架结构,其他,两梯六户,有
58.0,1室1厅1厨1卫,低楼层 (共11层),67.85,平层,54.9,板塔结合,东北,钢混结构,其他,一梯十一户,有
35.0,1室0厅1厨1卫,中楼层 (共7层),42.88,平层,,板塔结合,南,钢混结构,精装,一梯十户,无
61.0,1室1厅1厨1卫,低楼层 (共18层),61.53,平层,48.81,板塔结合,北,钢混结构,其他,一梯六户,无
82.0,2室1厅1厨1卫,中楼层 (共19层),82.12,平层,,板楼,北,钢混结构,其他,两梯四户,有
105.0,2室1厅1厨1卫,低楼层 (共17层),86.6,平层,,板楼,西北,钢混结构,其他,两梯六户,有
85.0,2室2厅1厨1卫,中楼层 (共12层),84.8,平层,,板塔结合,南 北,钢混结构,简装,一梯六户,无
80.0,2室2厅1厨1卫,低楼层 (共18层),76.34,平层,,塔楼,南 北,钢混结构,其他,两梯四户,有
60.0,1室1厅1厨1卫,中楼层 (共18层),57.0,平层,,塔楼,东北,钢混结构,其他,两梯六户,有
90.0,2室2厅1厨1卫,高楼层 (共25层),72.93,平层,,板塔结合,北,钢混结构,其他,一梯六户,无
81.0,2室2厅1厨1卫,低楼层 (共25层),72.93,平层,,板塔结合,西南,钢混结构,其他,一梯六户,无
90.0,2室2厅1厨1卫,高楼层 (共31层),69.0,平层,,板楼,东南,钢混结构,简装,两梯七户,有
72.0,1室1厅1厨1卫,低楼层 (共19层),65.0,平层,,板塔结合,东北,框架结构,其他,两梯七户,有
48.0,2室2厅1厨1卫,中楼层 (共11层),61.9,平层,,板塔结合,南 北,钢混结构,精装,两梯四户,有
135.0,3室2厅1厨2卫,中楼层 (共26层),105.34,平层,,板塔结合,南 北,钢混结构,精装,两梯十户,有
93.0,3室1厅1厨1卫,中楼层 (共15层),89.3,平层,,板塔结合,北,钢混结构,精装,两梯三户,有
57.0,1室1厅1厨1卫,高楼层 (共18层),56.83,平层,,,西,未知结构,其他,一梯六户,无
115.0,2室1厅1厨1卫,低楼层 (共18层),82.75,平层,,板塔结合,南,钢混结构,简装,一梯六户,无
93.0,2室2厅1厨1卫,高楼层 (共26层),75.0,平层,,板楼,南,钢混结构,其他,两梯八户,有
45.0,2室2厅1厨1卫,低楼层 (共26层),79.7,平层,,板塔结合,南,未知结构,精装,一梯六户,无
76.0,2室2厅1厨1卫,中楼层 (共18层),80.05,平层,,板楼,北,钢混结构,精装,一梯六户,无
85.0,2室2厅1厨2卫,低楼层 (共18层),80.0,平层,,板楼,北,钢混结构,简装,两梯六户,有
77.0,2室2厅1厨1卫,高楼层 (共18层),80.26,平层,,塔楼,东南,未知结构,简装,两梯六户,有
88.0,2室2厅1厨1卫,中楼层 (共29层),85.0,平层,,板塔结合,南 北,钢混结构,其他,一梯八户,无
75.0,2室1厅1厨1卫,高楼层 (共18层),88.86,平层,,板塔结合,西,钢混结构,精装,一梯四户,无
48.0,1室1厅1厨1卫,高楼层 (共18层),48.56,平层,36.33,板塔结合,南 北,钢混结构,其他,两梯八户,有
36.0,1室1厅1厨1卫,中楼层 (共14层),49.05,平层,,板塔结合,北,钢混结构,精装,一梯六户,有
50.0,1室1厅1厨1卫,低楼层 (共18层),56.0,平层,,板塔结合,北,未知结构,其他,两梯六户,有
77.0,2室2厅1厨1卫,高楼层 (共18层),79.22,平层,,板塔结合,东北,框架结构,其他,两梯六户,有
80.0,2室2厅1厨1卫,低楼层 (共18层),74.0,平层,,板塔结合,南,钢混结构,其他,一梯三户,无
90.0,2室1厅1厨1卫,低楼层 (共18层),78.32,平层,,板塔结合,东南,钢混结构,其他,一梯六户,无
520.0,6室3厅1厨5卫,低楼层 (共2层),316.2,复式,,,南 北,未知结构,其他,一梯十五户,无
450.0,5室2厅1厨3卫,低楼层 (共2层),316.2,复式,,,南,未知结构,精装,一梯十五户,无
100.0,2室2厅1厨1卫,高楼层 (共24层),89.21,平层,,板塔结合,南,未知结构,毛坯,一梯六户,无
120.0,3室1厅1厨2卫,中楼层 (共11层),93.27,平层,,板塔结合,南,钢混结构,其他,一梯两户,无
108.0,3室2厅1厨2卫,中楼层 (共23层),100.0,平层,,塔楼,南 北,钢混结构,其他,两梯四户,有
55.0,1室2厅1厨1卫,中楼层 (共18层),53.77,平层,44.74,板塔结合,北,钢混结构,简装,两梯八户,有
95.0,2室1厅1厨1卫,中楼层 (共19层),84.36,平层,62.02,板楼,南 北,钢混结构,其他,两梯四户,有
46.0,1室1厅1厨1卫,高楼层 (共17层),46.5,平层,38.2,板塔结合,南,钢混结构,精装,一梯八户,无
65.0,1室2厅1厨1卫,低楼层 (共15层),58.54,平层,,板塔结合,北,钢混结构,毛坯,一梯八户,无
124.0,3室2厅1厨2卫,中楼层 (共24层),139.0,平层,,板塔结合,北,框架结构,毛坯,两梯四户,有
70.0,2室2厅1厨1卫,低楼层 (共7层),82.16,平层,,板塔结合,东 西 东南,钢混结构,其他,一梯四户,无
55.0,1室2厅1厨1卫,中楼层 (共18层),53.77,平层,44.74,板塔结合,北,钢混结构,简装,两梯八户,有
95.0,2室1厅1厨1卫,中楼层 (共19层),84.36,平层,62.02,板楼,南 北,钢混结构,其他,两梯四户,有
72.0,1室0厅1厨1卫,中楼层 (共23层),60.52,平层,,塔楼,西南,钢混结构,其他,三梯二十户,有
46.0,1室0厅1厨1卫,高楼层 (共17层),44.99,平层,33.93,板楼,南,钢混结构,其他,一梯八户,无
46.0,1室1厅1厨1卫,高楼层 (共17层),46.5,平层,38.2,板塔结合,南,钢混结构,精装,一梯八户,无
65.0,1室2厅1厨1卫,低楼层 (共15层),58.54,平层,,板塔结合,北,钢混结构,毛坯,一梯八户,无
325.0,3室2厅1厨2卫,低楼层 (共2层),156.0,复式,,,北,未知结构,毛坯,一梯十二户,无
96.0,2室2厅1厨1卫,低楼层 (共18层),84.6,平层,,板塔结合,南 北,钢混结构,简装,一梯六户,无
129.0,4室2厅1厨2卫,中楼层 (共11层),120.36,平层,,板塔结合,南,钢混结构,其他,一梯两户,无
31.0,1室0厅1厨1卫,高楼层 (共17层),34.9,平层,,板楼,南 北,钢混结构,精装,两梯六户,有
45.0,1室0厅1厨1卫,低楼层 (共14层),48.0,平层,,板楼,北,钢混结构,精装,四梯三十二户,有
100.5,2室2厅1厨1卫,高楼层 (共15层),82.08,平层,67.2,塔楼,北,钢混结构,其他,一梯六户,无
70.0,2室2厅1厨1卫,高楼层 (共11层),74.62,平层,61.06,板塔结合,南 北,钢混结构,简装,一梯三户,无
610.0,5室2厅1厨3卫,低楼层 (共2层),309.21,复式,,,南,未知结构,其他,一梯十二户,无
165.0,4室2厅1厨3卫,高楼层 (共11层),136.7,跃层,,板塔结合,南 北,钢混结构,其他,一梯两户,无
243.0,4室3厅1厨3卫,低楼层 (共3层),189.15,跃层,,板塔结合,东 西,钢混结构,其他,一梯两户,无
42.0,1室1厅1厨1卫,低楼层 (共11层),43.76,平层,33.26,板塔结合,北,钢混结构,简装,一梯十二户,无
69.0,3室2厅1厨1卫,中楼层 (共25层),91.83,平层,68.97,塔楼,西北,钢混结构,毛坯,两梯十八户,有
36.0,1室0厅1厨1卫,高楼层 (共9层),43.76,平层,33.26,板塔结合,西北,钢混结构,精装,一梯十二户,有
510.0,3室3厅1厨3卫,低楼层 (共2层),96.0,,,,南 北,未知结构,精装,其他,无
98.0,2室2厅1厨1卫,高楼层 (共24层),89.21,平层,67.18,板塔结合,南,未知结构,毛坯,一梯六户,无
108.0,3室2厅1厨2卫,中楼层 (共23层),111.53,平层,,板塔结合,南,钢混结构,其他,两梯四户,有
32.0,1室0厅1厨1卫,高楼层 (共9层),43.76,平层,33.26,板塔结合,西北,钢混结构,毛坯,一梯十二户,无
88.0,2室2厅1厨1卫,中楼层 (共11层),89.33,平层,,板塔结合,南,钢混结构,毛坯,一梯四户,无
260.0,4室3厅1厨3卫,低楼层 (共3层),188.0,复式,,,东南,未知结构,其他,一梯两户,无
53.0,2室1厅1厨1卫,中楼层 (共19层),67.06,平层,55.95,板塔结合,南 北,框架结构,毛坯,一梯八户,无
50.0,2室1厅1厨1卫,中楼层 (共12层),58.72,平层,,板塔结合,南,钢混结构,简装,一梯六户,无
48.0,1室0厅1厨1卫,低楼层 (共13层),43.62,平层,35.63,塔楼,南,钢混结构,其他,两梯二十二户,有
260.0,4室3厅1厨3卫,低楼层 (共3层),188.0,复式,,,东南,未知结构,其他,一梯两户,无
295.0,2室2厅1厨3卫,低楼层 (共2层),154.0,,,,南 北,未知结构,其他,一梯十户,无
68.0,2室1厅1厨1卫,中楼层 (共14层),80.33,平层,65.94,板塔结合,北,钢混结构,毛坯,两梯六户,有
130.0,4室3厅1厨2卫,高楼层 (共23层),83.0,复式,,板塔结合,南 北,钢混结构,精装,一梯七户,无
110.0,5室2厅1厨2卫,高楼层 (共11层),151.0,复式,,板塔结合,北,钢混结构,毛坯,一梯两户,无
55.0,1室1厅1厨1卫,低楼层 (共11层),58.0,,47.42,板塔结合,北,钢混结构,精装,一梯四户,无
65.0,2室2厅1厨1卫,高楼层 (共15层),62.37,平层,,塔楼,西南,钢混结构,其他,两梯七户,有
130.0,3室2厅1厨2卫,高楼层 (共5层),166.0,复式,,板塔结合,南,钢混结构,简装,一梯两户,无
105.0,3室2厅1厨1卫,中楼层 (共17层),98.0,平层,,板塔结合,南 北,钢混结构,其他,一梯四户,无
138.0,3室2厅1厨2卫,高楼层 (共18层),120.0,平层,,板塔结合,南,钢混结构,精装,一梯三户,无
100.0,3室2厅1厨1卫,低楼层 (共23层),99.71,平层,,塔楼,南 北,钢混结构,其他,两梯四户,有
43.0,1室0厅1厨1卫,中楼层 (共13层),43.62,平层,35.63,塔楼,西南,钢混结构,精装,两梯二十二户,有
90.0,2室2厅1厨1卫,中楼层 (共11层),89.22,平层,,板塔结合,南 北,钢混结构,精装,一梯四户,无
420.0,3室2厅1厨3卫,低楼层 (共2层),104.76,复式,,,东 南 西 北,未知结构,精装,一梯一户,无
145.0,4室2厅1厨2卫,低楼层 (共11层),183.0,平层,,板塔结合,南 北,钢混结构,其他,一梯十户,无
179.0,3室2厅1厨2卫,高楼层 (共11层),156.0,复式,,,南 北,未知结构,其他,一梯两户,无
420.0,5室3厅1厨3卫,低楼层 (共2层),316.2,复式,,,东 东南 南 西南 西,未知结构,毛坯,一梯十五户,无
200.0,5室3厅1厨5卫,高楼层 (共7层),140.0,平层,,板塔结合,南 北,钢混结构,精装,一梯十一户,无
72.0,2室2厅1厨1卫,高楼层 (共17层),77.65,平层,64.9,板楼,南,钢混结构,精装,两梯七户,有
75.0,2室2厅1厨1卫,中楼层 (共17层),76.25,平层,,板塔结合,南 北,钢混结构,精装,一梯六户,无
123.0,4室1厅1厨2卫,中楼层 (共5层),123.0,平层,,,南 北,未知结构,精装,一梯两户,无
500.0,5室2厅1厨5卫,低楼层 (共2层),301.89,,,,南 北,未知结构,精装,其他,无
195.0,3室2厅1厨2卫,低楼层 (共9层),150.82,平层,,板楼,南 北,框架结构,其他,一梯两户,有
125.0,2室1厅1厨1卫,中楼层 (共17层),48.0,复式,,板塔结合,南,钢混结构,精装,一梯十三户,无
520.0,2室2厅1厨3卫,低楼层 (共2层),175.19,,,,南 北,钢混结构,精装,其他,无
49.0,1室2厅1厨1卫,高楼层 (共17层),54.37,平层,42.83,板塔结合,南,钢混结构,简装,一梯六户,无
105.0,2室2厅1厨1卫,中楼层 (共33层),90.39,平层,68.36,板塔结合,东南,钢混结构,精装,两梯五户,有
282.0,3室2厅1厨3卫,低楼层 (共2层),97.0,,,,西北,未知结构,简装,其他,无
263.0,4室2厅1厨3卫,低楼层 (共2层),175.0,,,,东南,钢混结构,毛坯,其他,无
112.0,3室2厅1厨2卫,低楼层 (共24层),105.0,平层,,板塔结合,南,钢混结构,简装,一梯六户,无
145.0,3室2厅1厨2卫,低楼层 (共18层),137.0,平层,,板塔结合,南 北,钢混结构,精装,两梯三户,有
215.0,4室2厅1厨2卫,中楼层 (共18层),167.0,平层,,板塔结合,南 北,钢混结构,精装,一梯三户,无
72.0,2室2厅1厨1卫,中楼层 (共18层),67.96,平层,54.01,板塔结合,北 西北,未知结构,毛坯,两梯六户,有
95.0,3室2厅1厨2卫,中楼层 (共23层),101.49,平层,,塔楼,北 南,钢混结构,精装,两梯四户,有
1550.0,7室2厅2厨5卫,低楼层 (共2层),400.0,,,,北,未知结构,精装,其他,无
350.0,4室2厅1厨2卫,低楼层 (共2层),185.86,复式,,板塔结合,南 北,钢混结构,其他,一梯十五户,无
30.8,1室0厅1厨1卫,高楼层 (共9层),45.37,平层,34.49,板塔结合,东南,钢混结构,简装,一梯十二户,有
115.0,3室2厅1厨2卫,中楼层 (共18层),115.85,平层,,板塔结合,东 南,钢混结构,其他,一梯五户,无
112.0,3室2厅1厨2卫,低楼层 (共24层),105.0,平层,,板塔结合,南,钢混结构,简装,一梯六户,无
79.0,3室2厅1厨2卫,中楼层 (共11层),115.15,平层,96.19,,南,未知结构,毛坯,一梯四户,无
97.0,2室2厅1厨1卫,低楼层 (共18层),86.44,平层,,板塔结合,南,钢混结构,其他,两梯五户,有
570.0,5室3厅2厨3卫,低楼层 (共3层),241.0,,,,南 北,未知结构,精装,其他,无
