,金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯
541,75,2室2厅1厨1卫,中楼层 (共14层),76.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有
542,59,1室1厅1厨1卫,低楼层 (共26层),58.69㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯七户,暂无数据
543,438.5,5室2厅1厨3卫,低楼层 (共2层),292.32㎡,复式,暂无数据,板塔结合,西南,钢混结构,毛坯,一梯十五户,暂无数据
544,1200,7室4厅1厨7卫,低楼层 (共3层),323㎡,,暂无数据,,南,未知结构,精装,,
545,2580,9室2厅2厨2卫,低楼层 (共9层),1240㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
546,500,4室3厅1厨3卫,低楼层 (共3层),221㎡,,暂无数据,,南 北,未知结构,精装,,
547,79,2室1厅1厨2卫,低楼层 (共18层),79.49㎡,平层,暂无数据,板楼,北,钢混结构,精装,两梯六户,有
548,34,1室1厅1厨1卫,中楼层 (共9层),52.44㎡,平层,40.13㎡,板塔结合,南,钢混结构,精装,一梯二十一户,暂无数据
549,58,1室1厅1厨1卫,中楼层 (共9层),67.45㎡,平层,51.27㎡,板塔结合,西南,钢混结构,其他,一梯十二户,暂无数据
550,85,2室1厅1厨1卫,中楼层 (共18层),80㎡,平层,63.88㎡,板塔结合,东南,钢混结构,其他,两梯六户,有
551,30,1室0厅1厨1卫,中楼层 (共17层),40.16㎡,平层,33.7㎡,板塔结合,南,钢混结构,精装,一梯六户,暂无数据
552,29,1室2厅1厨1卫,中楼层 (共18层),40.28㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯五户,暂无数据
553,81,2室2厅1厨1卫,高楼层 (共21层),81㎡,平层,暂无数据,板塔结合,西北,钢混结构,毛坯,一梯六户,暂无数据
554,68.8,2室1厅1厨1卫,中楼层 (共15层),64㎡,平层,暂无数据,暂无数据,北,未知结构,毛坯,两梯六户,有
555,75,2室2厅1厨1卫,中楼层 (共31层),67.9㎡,平层,暂无数据,板楼,北,钢混结构,毛坯,两梯七户,有
556,100,2室1厅1厨1卫,高楼层 (共18层),87.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有
557,62,2室1厅1厨1卫,低楼层 (共11层),77.67㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯四户,暂无数据
558,103,2室1厅1厨1卫,中楼层 (共31层),78.04㎡,平层,暂无数据,板塔结合,北,框架结构,其他,两梯六户,有
559,58,1室1厅1厨1卫,低楼层 (共11层),67.85㎡,平层,54.9㎡,板塔结合,东北,钢混结构,其他,一梯十一户,有
560,35,1室0厅1厨1卫,中楼层 (共7层),42.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯十户,暂无数据
561,61,1室1厅1厨1卫,低楼层 (共18层),61.53㎡,平层,48.81㎡,板塔结合,北,钢混结构,其他,一梯六户,暂无数据
562,82,2室1厅1厨1卫,中楼层 (共19层),82.12㎡,平层,暂无数据,板楼,北,钢混结构,其他,两梯四户,有
563,105,2室1厅1厨1卫,低楼层 (共17层),86.6㎡,平层,暂无数据,板楼,西北,钢混结构,其他,两梯六户,有
564,85,2室2厅1厨1卫,中楼层 (共12层),84.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯六户,暂无数据
565,80,2室2厅1厨1卫,低楼层 (共18层),76.34㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯四户,有
566,60,1室1厅1厨1卫,中楼层 (共18层),57㎡,平层,暂无数据,塔楼,东北,钢混结构,其他,两梯六户,有
567,90,2室2厅1厨1卫,高楼层 (共25层),72.93㎡,平层,暂无数据,板塔结合,北,钢混结构,其他,一梯六户,暂无数据
568,81,2室2厅1厨1卫,低楼层 (共25层),72.93㎡,平层,暂无数据,板塔结合,西南,钢混结构,其他,一梯六户,暂无数据
569,90,2室2厅1厨1卫,高楼层 (共31层),69㎡,平层,暂无数据,板楼,东南,钢混结构,简装,两梯七户,有
570,72,1室1厅1厨1卫,低楼层 (共19层),65㎡,平层,暂无数据,板塔结合,东北,框架结构,其他,两梯七户,有
571,48,2室2厅1厨1卫,中楼层 (共11层),61.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有
572,135,3室2厅1厨2卫,中楼层 (共26层),105.34㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯十户,有
573,93,3室1厅1厨1卫,中楼层 (共15层),89.3㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯三户,有
574,57,1室1厅1厨1卫,高楼层 (共18层),56.83㎡,平层,暂无数据,暂无数据,西,未知结构,其他,一梯六户,暂无数据
575,115,2室1厅1厨1卫,低楼层 (共18层),82.75㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯六户,暂无数据
576,93,2室2厅1厨1卫,高楼层 (共26层),75㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯八户,有
577,45,2室2厅1厨1卫,低楼层 (共26层),79.7㎡,平层,暂无数据,板塔结合,南,未知结构,精装,一梯六户,暂无数据
578,76,2室2厅1厨1卫,中楼层 (共18层),80.05㎡,平层,暂无数据,板楼,北,钢混结构,精装,一梯六户,暂无数据
579,85,2室2厅1厨2卫,低楼层 (共18层),80㎡,平层,暂无数据,板楼,北,钢混结构,简装,两梯六户,有
580,77,2室2厅1厨1卫,高楼层 (共18层),80.26㎡,平层,暂无数据,塔楼,东南,未知结构,简装,两梯六户,有
581,88,2室2厅1厨1卫,中楼层 (共29层),85㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯八户,暂无数据
582,75,2室1厅1厨1卫,高楼层 (共18层),88.86㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,一梯四户,暂无数据
583,48,1室1厅1厨1卫,高楼层 (共18层),48.56㎡,平层,36.33㎡,板塔结合,南 北,钢混结构,其他,两梯八户,有
584,36,1室1厅1厨1卫,中楼层 (共14层),49.05㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,一梯六户,有
585,50,1室1厅1厨1卫,低楼层 (共18层),56㎡,平层,暂无数据,板塔结合,北,未知结构,其他,两梯六户,有
586,77,2室2厅1厨1卫,高楼层 (共18层),79.22㎡,平层,暂无数据,板塔结合,东北,框架结构,其他,两梯六户,有
587,80,2室2厅1厨1卫,低楼层 (共18层),74㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯三户,暂无数据
588,90,2室1厅1厨1卫,低楼层 (共18层),78.32㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,一梯六户,暂无数据
589,520,6室3厅1厨5卫,低楼层 (共2层),316.2㎡,复式,暂无数据,暂无数据,南 北,未知结构,其他,一梯十五户,暂无数据
590,450,5室2厅1厨3卫,低楼层 (共2层),316.2㎡,复式,暂无数据,暂无数据,南,未知结构,精装,一梯十五户,暂无数据
591,100,2室2厅1厨1卫,高楼层 (共24层),89.21㎡,平层,暂无数据,板塔结合,南,未知结构,毛坯,一梯六户,暂无数据
592,120,3室1厅1厨2卫,中楼层 (共11层),93.27㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,暂无数据
593,108,3室2厅1厨2卫,中楼层 (共23层),100㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯四户,有
594,55,1室2厅1厨1卫,中楼层 (共18层),53.77㎡,平层,44.74㎡,板塔结合,北,钢混结构,简装,两梯八户,有
595,95,2室1厅1厨1卫,中楼层 (共19层),84.36㎡,平层,62.02㎡,板楼,南 北,钢混结构,其他,两梯四户,有
596,46,1室1厅1厨1卫,高楼层 (共17层),46.5㎡,平层,38.2㎡,板塔结合,南,钢混结构,精装,一梯八户,暂无数据
597,65,1室2厅1厨1卫,低楼层 (共15层),58.54㎡,平层,暂无数据,板塔结合,北,钢混结构,毛坯,一梯八户,暂无数据
598,124,3室2厅1厨2卫,中楼层 (共24层),139㎡,平层,暂无数据,板塔结合,北,框架结构,毛坯,两梯四户,有
599,70,2室2厅1厨1卫,低楼层 (共7层),82.16㎡,平层,暂无数据,板塔结合,东 西 东南,钢混结构,其他,一梯四户,暂无数据
600,55,1室2厅1厨1卫,中楼层 (共18层),53.77㎡,平层,44.74㎡,板塔结合,北,钢混结构,简装,两梯八户,有
601,95,2室1厅1厨1卫,中楼层 (共19层),84.36㎡,平层,62.02㎡,板楼,南 北,钢混结构,其他,两梯四户,有
602,72,1室0厅1厨1卫,中楼层 (共23层),60.52㎡,平层,暂无数据,塔楼,西南,钢混结构,其他,三梯二十户,有
603,46,1室0厅1厨1卫,高楼层 (共17层),44.99㎡,平层,33.93㎡,板楼,南,钢混结构,其他,一梯八户,暂无数据
604,46,1室1厅1厨1卫,高楼层 (共17层),46.5㎡,平层,38.2㎡,板塔结合,南,钢混结构,精装,一梯八户,暂无数据
605,65,1室2厅1厨1卫,低楼层 (共15层),58.54㎡,平层,暂无数据,板塔结合,北,钢混结构,毛坯,一梯八户,暂无数据
606,325,3室2厅1厨2卫,低楼层 (共2层),156㎡,复式,暂无数据,暂无数据,北,未知结构,毛坯,一梯十二户,暂无数据
607,96,2室2厅1厨1卫,低楼层 (共18层),84.6㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯六户,暂无数据
608,129,4室2厅1厨2卫,中楼层 (共11层),120.36㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,暂无数据
609,31,1室0厅1厨1卫,高楼层 (共17层),34.9㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯六户,有
610,45,1室0厅1厨1卫,低楼层 (共14层),48㎡,平层,暂无数据,板楼,北,钢混结构,精装,四梯三十二户,有
611,100.5,2室2厅1厨1卫,高楼层 (共15层),82.08㎡,平层,67.2㎡,塔楼,北,钢混结构,其他,一梯六户,暂无数据
612,70,2室2厅1厨1卫,高楼层 (共11层),74.62㎡,平层,61.06㎡,板塔结合,南 北,钢混结构,简装,一梯三户,暂无数据
613,610,5室2厅1厨3卫,低楼层 (共2层),309.21㎡,复式,暂无数据,暂无数据,南,未知结构,其他,一梯十二户,暂无数据
614,165,4室2厅1厨3卫,高楼层 (共11层),136.7㎡,跃层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据
615,243,4室3厅1厨3卫,低楼层 (共3层),189.15㎡,跃层,暂无数据,板塔结合,东 西,钢混结构,其他,一梯两户,暂无数据
616,42,1室1厅1厨1卫,低楼层 (共11层),43.76㎡,平层,33.26㎡,板塔结合,北,钢混结构,简装,一梯十二户,暂无数据
617,69,3室2厅1厨1卫,中楼层 (共25层),91.83㎡,平层,68.97㎡,塔楼,西北,钢混结构,毛坯,两梯十八户,有
618,36,1室0厅1厨1卫,高楼层 (共9层),43.76㎡,平层,33.26㎡,板塔结合,西北,钢混结构,精装,一梯十二户,有
619,510,3室3厅1厨3卫,低楼层 (共2层),96㎡,,暂无数据,,南 北,未知结构,精装,,
620,98,2室2厅1厨1卫,高楼层 (共24层),89.21㎡,平层,67.18㎡,板塔结合,南,未知结构,毛坯,一梯六户,暂无数据
621,108,3室2厅1厨2卫,中楼层 (共23层),111.53㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有
622,32,1室0厅1厨1卫,高楼层 (共9层),43.76㎡,平层,33.26㎡,板塔结合,西北,钢混结构,毛坯,一梯十二户,暂无数据
623,88,2室2厅1厨1卫,中楼层 (共11层),89.33㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯四户,暂无数据
624,260,4室3厅1厨3卫,低楼层 (共3层),188㎡,复式,暂无数据,暂无数据,东南,未知结构,其他,一梯两户,暂无数据
625,53,2室1厅1厨1卫,中楼层 (共19层),67.06㎡,平层,55.95㎡,板塔结合,南 北,框架结构,毛坯,一梯八户,暂无数据
626,50,2室1厅1厨1卫,中楼层 (共12层),58.72㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯六户,暂无数据
627,48,1室0厅1厨1卫,低楼层 (共13层),43.62㎡,平层,35.63㎡,塔楼,南,钢混结构,其他,两梯二十二户,有
628,260,4室3厅1厨3卫,低楼层 (共3层),188㎡,复式,暂无数据,暂无数据,东南,未知结构,其他,一梯两户,暂无数据
629,295,2室2厅1厨3卫,低楼层 (共2层),154㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,一梯十户,暂无数据
630,68,2室1厅1厨1卫,中楼层 (共14层),80.33㎡,平层,65.94㎡,板塔结合,北,钢混结构,毛坯,两梯六户,有
631,130,4室3厅1厨2卫,高楼层 (共23层),83㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,一梯七户,暂无数据
632,110,5室2厅1厨2卫,高楼层 (共11层),151㎡,复式,暂无数据,板塔结合,北,钢混结构,毛坯,一梯两户,暂无数据
633,55,1室1厅1厨1卫,低楼层 (共11层),58㎡,暂无数据,47.42㎡,板塔结合,北,钢混结构,精装,一梯四户,暂无数据
634,65,2室2厅1厨1卫,高楼层 (共15层),62.37㎡,平层,暂无数据,塔楼,西南,钢混结构,其他,两梯七户,有
635,130,3室2厅1厨2卫,高楼层 (共5层),166㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,暂无数据
636,105,3室2厅1厨1卫,中楼层 (共17层),98㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯四户,暂无数据
637,138,3室2厅1厨2卫,高楼层 (共18层),120㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,暂无数据
638,100,3室2厅1厨1卫,低楼层 (共23层),99.71㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯四户,有
639,43,1室0厅1厨1卫,中楼层 (共13层),43.62㎡,平层,35.63㎡,塔楼,西南,钢混结构,精装,两梯二十二户,有
640,90,2室2厅1厨1卫,中楼层 (共11层),89.22㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
641,420,3室2厅1厨3卫,低楼层 (共2层),104.76㎡,复式,暂无数据,暂无数据,东 南 西 北,未知结构,精装,一梯一户,暂无数据
642,145,4室2厅1厨2卫,低楼层 (共11层),183㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯十户,暂无数据
643,179,3室2厅1厨2卫,高楼层 (共11层),156㎡,复式,暂无数据,暂无数据,南 北,未知结构,其他,一梯两户,暂无数据
644,420,5室3厅1厨3卫,低楼层 (共2层),316.2㎡,复式,暂无数据,暂无数据,东 东南 南 西南 西,未知结构,毛坯,一梯十五户,暂无数据
645,200,5室3厅1厨5卫,高楼层 (共7层),140㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯十一户,暂无数据
646,72,2室2厅1厨1卫,高楼层 (共17层),77.65㎡,平层,64.9㎡,板楼,南,钢混结构,精装,两梯七户,有
647,75,2室2厅1厨1卫,中楼层 (共17层),76.25㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯六户,暂无数据
648,123,4室1厅1厨2卫,中楼层 (共5层),123㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,一梯两户,暂无数据
649,500,5室2厅1厨5卫,低楼层 (共2层),301.89㎡,,暂无数据,,南 北,未知结构,精装,,
650,195,3室2厅1厨2卫,低楼层 (共9层),150.82㎡,平层,暂无数据,板楼,南 北,框架结构,其他,一梯两户,有
651,125,2室1厅1厨1卫,中楼层 (共17层),48㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,一梯十三户,暂无数据
652,520,2室2厅1厨3卫,低楼层 (共2层),175.19㎡,,暂无数据,,南 北,钢混结构,精装,,
653,49,1室2厅1厨1卫,高楼层 (共17层),54.37㎡,平层,42.83㎡,板塔结合,南,钢混结构,简装,一梯六户,暂无数据
654,105,2室2厅1厨1卫,中楼层 (共33层),90.39㎡,平层,68.36㎡,板塔结合,东南,钢混结构,精装,两梯五户,有
655,282,3室2厅1厨3卫,低楼层 (共2层),97㎡,,暂无数据,,西北,未知结构,简装,,
656,263,4室2厅1厨3卫,低楼层 (共2层),175㎡,,暂无数据,,东南,钢混结构,毛坯,,
657,112,3室2厅1厨2卫,低楼层 (共24层),105㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯六户,暂无数据
658,145,3室2厅1厨2卫,低楼层 (共18层),137㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有
659,215,4室2厅1厨2卫,中楼层 (共18层),167㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯三户,暂无数据
660,72,2室2厅1厨1卫,中楼层 (共18层),67.96㎡,平层,54.01㎡,板塔结合,北 西北,未知结构,毛坯,两梯六户,有
661,95,3室2厅1厨2卫,中楼层 (共23层),101.49㎡,平层,暂无数据,塔楼,北 南,钢混结构,精装,两梯四户,有
662,1550,7室2厅2厨5卫,低楼层 (共2层),400㎡,,暂无数据,,北,未知结构,精装,,
663,350,4室2厅1厨2卫,低楼层 (共2层),185.86㎡,复式,暂无数据,板塔结合,南 北,钢混结构,其他,一梯十五户,暂无数据
664,30.8,1室0厅1厨1卫,高楼层 (共9层),45.37㎡,平层,34.49㎡,板塔结合,东南,钢混结构,简装,一梯十二户,有
665,115,3室2厅1厨2卫,中楼层 (共18层),115.85㎡,平层,暂无数据,板塔结合,东 南,钢混结构,其他,一梯五户,暂无数据
666,112,3室2厅1厨2卫,低楼层 (共24层),105㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯六户,暂无数据
667,79,3室2厅1厨2卫,中楼层 (共11层),115.15㎡,平层,96.19㎡,暂无数据,南,未知结构,毛坯,一梯四户,暂无数据
668,97,2室2厅1厨1卫,低楼层 (共18层),86.44㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯五户,有
669,570,5室3厅2厨3卫,低楼层 (共3层),241㎡,,暂无数据,,南 北,未知结构,精装,,
670,108,3室2厅1厨1卫,中楼层 (共18层),97.53㎡,平层,暂无数据,板塔结合,南,框架结构,精装,一梯六户,暂无数据
671,580,5室2厅1厨5卫,低楼层 (共3层),253.8㎡,,暂无数据,,南 北,未知结构,精装,,
672,135,4室2厅1厨2卫,低楼层 (共18层),108㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯六户,暂无数据
673,136,4室2厅1厨2卫,高楼层 (共11层),142.7㎡,复式,暂无数据,板塔结合,南 北,未知结构,其他,一梯两户,暂无数据
674,198,4室2厅1厨2卫,高楼层 (共18层),165.37㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯三户,暂无数据
675,170,3室1厅1厨1卫,高楼层 (共6层),164㎡,跃层,暂无数据,暂无数据,南 北,未知结构,其他,一梯两户,暂无数据
676,1200,4室4厅1厨5卫,低楼层 (共3层),323.4㎡,,暂无数据,,南 北,钢混结构,其他,,
677,90,2室1厅1厨1卫,中楼层 (共16层),87.75㎡,平层,67.6㎡,板塔结合,南 北,钢混结构,精装,一梯三户,暂无数据
678,360,3室2厅1厨3卫,低楼层 (共2层),179㎡,复式,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯八户,暂无数据
679,120,4室2厅1厨2卫,高楼层 (共11层),160㎡,复式,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,暂无数据
680,550,3室2厅1厨3卫,低楼层 (共2层),186.72㎡,,暂无数据,,南,钢混结构,精装,,
681,520,6室3厅1厨5卫,低楼层 (共2层),316㎡,,暂无数据,,南 北,未知结构,毛坯,,
682,480,8室4厅1厨6卫,高楼层 (共18层),400㎡,复式,暂无数据,板塔结合,西南 东北,钢混结构,精装,一梯四户,暂无数据
683,58,2室1厅1厨1卫,高楼层 (共18层),76.58㎡,平层,暂无数据,板塔结合,东,钢混结构,毛坯,一梯四户,暂无数据
684,105,3室2厅1厨2卫,高楼层 (共11层),120㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据
685,120,3室2厅1厨2卫,低楼层 (共24层),138㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯四户,暂无数据
686,105,3室2厅1厨2卫,中楼层 (共11层),93.76㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,暂无数据
687,62,2室2厅1厨1卫,高楼层 (共11层),71㎡,平层,57.31㎡,塔楼,南,钢混结构,精装,两梯六户,有
688,32,1室1厅0厨0卫,低楼层 (共5层),19.19㎡,平层,暂无数据,板塔结合,西南 南,砖混结构,其他,一梯一百五十七户,暂无数据
689,47,1室1厅1厨1卫,中楼层 (共33层),51.45㎡,平层,38.94㎡,塔楼,西南,钢混结构,精装,两梯五户,有
690,360,3室2厅1厨3卫,低楼层 (共2层),179㎡,复式,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯八户,暂无数据
691,550,3室2厅1厨3卫,低楼层 (共2层),186.72㎡,,暂无数据,,南,钢混结构,精装,,
692,520,6室3厅1厨5卫,低楼层 (共2层),316㎡,,暂无数据,,南 北,未知结构,毛坯,,
693,480,8室4厅1厨6卫,高楼层 (共18层),400㎡,复式,暂无数据,板塔结合,西南 东北,钢混结构,精装,一梯四户,暂无数据
694,90,2室1厅1厨1卫,高楼层 (共18层),85.1㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
695,52,1室1厅1厨1卫,低楼层 (共18层),55.72㎡,平层,46.24㎡,板塔结合,南,钢混结构,精装,两梯六户,有
696,45,3室1厅1厨2卫,高楼层 (共8层),44.66㎡,复式,暂无数据,暂无数据,南 北,未知结构,简装,一梯两户,暂无数据
697,62,2室2厅1厨1卫,高楼层 (共11层),71㎡,平层,57.31㎡,塔楼,南,钢混结构,精装,两梯六户,有
698,73,3室2厅1厨1卫,高楼层 (共25层),59.36㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯六户,暂无数据
699,105,3室2厅1厨2卫,高楼层 (共11层),120㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据
700,105,3室2厅1厨2卫,中楼层 (共11层),93.76㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,暂无数据
701,198,4室2厅1厨2卫,高楼层 (共18层),165.37㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯三户,暂无数据
702,63,2室1厅1厨1卫,中楼层 (共17层),72.74㎡,平层,58.77㎡,板楼,南,钢混结构,精装,两梯六户,有
703,305,3室2厅1厨2卫,低楼层 (共2层),172.91㎡,,暂无数据,,南,钢混结构,毛坯,,
704,58,2室1厅1厨1卫,低楼层 (共18层),74㎡,平层,暂无数据,暂无数据,东南 南,钢混结构,其他,两梯六户,有
705,172,3室1厅1厨1卫,中楼层 (共7层),183㎡,平层,暂无数据,板塔结合,西南,钢混结构,其他,一梯十户,暂无数据
706,57,2室2厅1厨1卫,低楼层 (共12层),86.5㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,毛坯,一梯四户,暂无数据
707,108,3室2厅1厨2卫,中楼层 (共24层),139㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,两梯四户,有
708,28,1室0厅1厨1卫,中楼层 (共18层),40.35㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯十二户,暂无数据
709,88,2室1厅1厨1卫,低楼层 (共12层),87.83㎡,平层,暂无数据,板塔结合,东,钢混结构,简装,一梯二十五户,暂无数据
710,65,1室2厅1厨1卫,中楼层 (共11层),57.48㎡,平层,47.42㎡,板塔结合,北,钢混结构,精装,一梯四户,暂无数据
711,66,1室2厅1厨1卫,低楼层 (共17层),57.3㎡,平层,48.26㎡,板塔结合,南,钢混结构,毛坯,一梯六户,暂无数据
712,40,1室0厅1厨1卫,低楼层 (共18层),38.49㎡,平层,暂无数据,板塔结合,北,框架结构,其他,两梯六户,有
713,70,1室1厅1厨1卫,中楼层 (共15层),60.93㎡,平层,49.68㎡,塔楼,东南,钢混结构,简装,一梯六户,暂无数据
714,80,2室2厅1厨1卫,高楼层 (共18层),73.33㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,暂无数据
715,77.8,1室1厅1厨1卫,低楼层 (共20层),64.88㎡,平层,51.6㎡,板楼,东,钢混结构,精装,两梯七户,有
716,70,1室1厅1厨1卫,中楼层 (共20层),64㎡,平层,暂无数据,板楼,东,钢混结构,其他,两梯七户,有
717,75,1室2厅1厨1卫,高楼层 (共16层),58.44㎡,平层,43.62㎡,板塔结合,南 北,钢混结构,精装,两梯六户,有
718,39,1室1厅1厨1卫,低楼层 (共18层),38.49㎡,平层,30.28㎡,板楼,东南,钢混结构,简装,两梯六户,有
719,58,2室2厅1厨1卫,高楼层 (共19层),70.37㎡,平层,暂无数据,板塔结合,东,框架结构,简装,两梯八户,有
720,52,1室1厅1厨1卫,高楼层 (共33层),51.45㎡,平层,38.94㎡,塔楼,南,钢混结构,精装,两梯五户,有
721,30,1室0厅1厨1卫,高楼层 (共19层),35.87㎡,平层,29.93㎡,板塔结合,北,框架结构,简装,一梯八户,暂无数据
722,68,1室2厅1厨1卫,中楼层 (共12层),75.59㎡,平层,55.52㎡,板塔结合,东北,钢混结构,毛坯,一梯十户,暂无数据
723,56,1室1厅0厨1卫,中楼层 (共23层),58㎡,平层,暂无数据,塔楼,西北,钢混结构,其他,三梯二十户,有
724,60,1室1厅1厨1卫,高楼层 (共26层),60.66㎡,平层,46.5㎡,板楼,北,钢混结构,精装,一梯五户,暂无数据
725,84.3,2室1厅1厨1卫,低楼层 (共18层),77.9㎡,平层,暂无数据,暂无数据,东南,未知结构,精装,一梯六户,暂无数据
726,63,1室1厅1厨1卫,中楼层 (共19层),56.47㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯八户,暂无数据
727,23,1室0厅1厨1卫,中楼层 (共11层),37.19㎡,平层,30.19㎡,塔楼,北,钢混结构,精装,一梯六户,有
728,95,3室1厅1厨2卫,中楼层 (共13层),118.25㎡,平层,90.64㎡,板塔结合,北,钢混结构,简装,一梯八户,暂无数据
729,60,2室1厅1厨1卫,低楼层 (共25层),61.73㎡,平层,47.32㎡,板楼,南,钢混结构,精装,一梯六户,暂无数据
730,66,1室1厅1厨1卫,高楼层 (共17层),55.56㎡,平层,暂无数据,板楼,西北,钢混结构,其他,两梯六户,有
731,31,1室1厅1厨1卫,低楼层 (共18层),38.69㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,一梯五户,暂无数据
732,81,1室1厅1厨1卫,高楼层 (共18层),58.81㎡,平层,暂无数据,板塔结合,北,钢混结构,其他,两梯八户,有
733,70,1室1厅1厨1卫,中楼层 (共17层),62.57㎡,平层,51.95㎡,板塔结合,南,钢混结构,精装,两梯八户,有
734,41,1室1厅1厨1卫,低楼层 (共18层),40㎡,平层,暂无数据,板塔结合,北,框架结构,简装,两梯六户,有
735,90,1室1厅1厨1卫,中楼层 (共9层),52.73㎡,平层,43.21㎡,板塔结合,南 北,钢混结构,精装,一梯十九户,暂无数据
736,65,1室0厅1厨1卫,低楼层 (共18层),46㎡,平层,29.87㎡,板楼,南,钢混结构,精装,三梯十二户,有
737,26,1室1厅1厨1卫,低楼层 (共13层),31.01㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯八户,暂无数据
738,60,2室2厅1厨1卫,低楼层 (共12层),70㎡,平层,59.22㎡,板塔结合,东南,钢混结构,简装,一梯六户,暂无数据
739,30,1室1厅1厨1卫,中楼层 (共13层),35.39㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯十八户,有
740,55,2室2厅1厨1卫,低楼层 (共23层),89.18㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,一梯六户,暂无数据
741,56,2室2厅1厨1卫,高楼层 (共17层),76.87㎡,平层,61.06㎡,板塔结合,南 北,钢混结构,精装,一梯七户,暂无数据
742,23,1室1厅1厨1卫,高楼层 (共13层),30.43㎡,平层,暂无数据,板塔结合,北,钢混结构,简装,一梯六户,暂无数据
